,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
1319,Khanewal-III,NA-158,Pir Haider Zaman Qureshi,Pakistan Peoples Party Parliamentarians,56821,159769,4137,159659,262562,60.80 %
1320,Khanewal-III,NA-158,Wing Commander(R) Muhammad Nawaz Asim,Muttahida Qaumi Movement Pakistan,1512,159769,4137,159659,262562,60.80 %
1321,Khanewal-IV,NA-159,Advocate Rao Muhammad Arif Khan,Independent,59,154589,3901,158452,253131,62.59 %
1322,Khanewal-IV,NA-159,Captain(R) Ch.Muhammad Asad Iqbal Gill,Independent,3801,154589,3901,158452,253131,62.59 %
1323,Khanewal-IV,NA-159,Ch. Iftikhar Nazir,Pakistan Peoples Party Parliamentarians,78255,154589,3901,158452,253131,62.59 %
1324,Khanewal-IV,NA-159,Malik Ghulam Murtaza Maitla,Pakistan Muslim League,61188,154589,3901,158452,253131,62.59 %
1325,Khanewal-IV,NA-159,Rao Abid Rizwan Shoukat,Pakistan Muslim League (N),10417,154589,3901,158452,253131,62.59 %
1326,Khanewal-IV,NA-159,Rauf Ijaz Cheema,Independent,869,154589,3901,158452,253131,62.59 %
1327,Sahiwal-I,NA-160,Anwar-ul-Haq Ramay,Pakistan Peoples Party Parliamentarians,27638,124168,3699,127082,248573,51.12 %
1328,Sahiwal-I,NA-160,Ch.Nauraiz Shakoor Khan,Pakistan Muslim League,31119,124168,3699,127082,248573,51.12 %
1329,Sahiwal-I,NA-160,Ch.Shabbir Ali Ahmed Khan,Independent,1788,124168,3699,127082,248573,51.12 %
1330,Sahiwal-I,NA-160,Hamaad Rasool Ramay,Independent,242,124168,3699,127082,248573,51.12 %
1331,Sahiwal-I,NA-160,M.Sarwar Khan Saqib,Independent,650,124168,3699,127082,248573,51.12 %
1332,Sahiwal-I,NA-160,Muhammad Imran Ch.,Independent,165,124168,3699,127082,248573,51.12 %
1333,Sahiwal-I,NA-160,Rao Zaid Bin Ismail,Independent,2981,124168,3699,127082,248573,51.12 %
1334,Sahiwal-I,NA-160,Sh.Abdul Majeed Javed,Independent,100,124168,3699,127082,248573,51.12 %
1335,Sahiwal-I,NA-160,Syed Imran Ahmed Shah,Pakistan Muslim League (N),59373,124168,3699,127082,248573,51.12 %
1336,Sahiwal-I,NA-160,Tallat Hanif Butt,Independent,32,124168,3699,127082,248573,51.12 %
1337,Sahiwal-I,NA-160,Toqeer Zishan,Independent,80,124168,3699,127082,248573,51.12 %
1338,Sahiwal-II,NA-161,Ch.Muhammad Ashraf,Pakistan Democratic Party,33110,128909,6104,135661,236482,57.36 %
1339,Sahiwal-II,NA-161,Ehsan-ul-Haq Idrees Advocate,Pakistan Muslim League (N),22625,128909,6104,135661,236482,57.36 %
1340,Sahiwal-II,NA-161,Ghulam Farid Kathia,Pakistan Peoples Party Parliamentarians,38962,128909,6104,135661,236482,57.36 %
1341,Sahiwal-II,NA-161,Malik Ghulam Hussain Advocate,Independent,422,128909,6104,135661,236482,57.36 %
1342,Sahiwal-II,NA-161,Mian Mohsin Rashid,Independent,3431,128909,6104,135661,236482,57.36 %
1343,Sahiwal-II,NA-161,Muhammad Hafeez Tabassum,Muttahida Qaumi Movement Pakistan,150,128909,6104,135661,236482,57.36 %
1344,Sahiwal-II,NA-161,Rai Muhammad Nawaz Kharal,Independent,1330,128909,6104,135661,236482,57.36 %
1345,Sahiwal-II,NA-161,Rana Tariq Javed,Pakistan Muslim League,28879,128909,6104,135661,236482,57.36 %
1346,Sahiwal-III,NA-162,Afzaal Ahmed Hundal,Independent,71,165517,4182,169699,294702,57.58 %
1347,Sahiwal-III,NA-162,Ch. Asif Gillani Milloo Advocate,Independent,104,165517,4182,169699,294702,57.58 %
1348,Sahiwal-III,NA-162,Ch. Muhammad Imran Bhullar Jutt,Independent,6978,165517,4182,169699,294702,57.58 %
1349,Sahiwal-III,NA-162,Ch. Zahid Iqbal,Pakistan Muslim League (N),75579,165517,4182,169699,294702,57.58 %
1350,Sahiwal-III,NA-162,Makhdoom Nasir Farid Chishti,Jamiat Ulema-e-Pakistan (Niazi),205,165517,4182,169699,294702,57.58 %
1351,Sahiwal-III,NA-162,Mehar Muhammad Ali Farid Kathia,Pakistan Peoples Party Parliamentarians,15116,165517,4182,169699,294702,57.58 %
1352,Sahiwal-III,NA-162,Mian Qamar-ur-Rehman Joyia,Independent,698,165517,4182,169699,294702,57.58 %
1353,Sahiwal-III,NA-162,Muhammad Asif Advocate,Independent,444,165517,4182,169699,294702,57.58 %
1354,Sahiwal-III,NA-162,Rai Hassan Nawaz Khan,Independent,65414,165517,4182,169699,294702,57.58 %
1355,Sahiwal-III,NA-162,Raja Inam ul Haq Abbasi,Independent,488,165517,4182,169699,294702,57.58 %
1356,Sahiwal-III,NA-162,Rizwan Zauq,Independent,420,165517,4182,169699,294702,57.58 %
1357,Sahiwal-IV,NA-163,Begum Shahnaz Javed,Pakistan Peoples Party Parliamentarians,37986,131852,3771,134803,219426,61.43 %
1358,Sahiwal-IV,NA-163,Ch.Muhammad Munir Azhar,Pakistan Muslim League (N),34644,131852,3771,134803,219426,61.43 %
1359,Sahiwal-IV,NA-163,Makhdoom Nasir Farid Chishti,Pakistan Bachao Party,1650,131852,3771,134803,219426,61.43 %
1360,Sahiwal-IV,NA-163,Malik Nauman Ahmed Langriyal,Pakistan Muslim League,39864,131852,3771,134803,219426,61.43 %
1361,Sahiwal-IV,NA-163,Saeed Ahmed,Independent,17708,131852,3771,134803,219426,61.43 %
1362,Pakpattan-I,NA-164,Mian Muhammad Farrukh Mumtaz Khan Maneka,Independent,16783,113109,4886,117995,201597,58.55 %
1363,Pakpattan-I,NA-164,Nadeem Iqbal,Independent,218,113109,4886,117995,201597,58.55 %
1364,Pakpattan-I,NA-164,Pir Muhammad Shah Khagga,Pakistan Muslim League,34196,113109,4886,117995,201597,58.55 %
1365,Pakpattan-I,NA-164,Rao Muhammad Jameel Hashim Khan,Pakistan Peoples Party Parliamentarians,26315,113109,4886,117995,201597,58.55 %
1366,Pakpattan-I,NA-164,Sardar Mansab Ali Doggar,Pakistan Muslim League (N),35597,113109,4886,117995,201597,58.55 %
1367,Pakpattan-II,NA-165,Mian Ahmad Raza Khan Maneka,Pakistan Muslim League,36603,119903,4682,124209,227991,54.48 %
1368,Pakpattan-II,NA-165,Mian Nasim Mahmood Hotiana,Pakistan Peoples Party Parliamentarians,15900,119903,4682,124209,227991,54.48 %
1369,Pakpattan-II,NA-165,Syed Muhammad Salman Mohsin Gillani,Pakistan Muslim League (N),67400,119903,4682,124209,227991,54.48 %
1370,Pakpattan-III,NA-166,Aish Muhammad Khan Siraa,Independent,0,123530,4815,128315,221602,57.90 %
1371,Pakpattan-III,NA-166,Dr.Junaid Mumtaz Joya,Pakistan Muslim League,42860,123530,4815,128315,221602,57.90 %
1372,Pakpattan-III,NA-166,Naeem Mehmood Rana,Pakistan Peoples Party Parliamentarians,13522,123530,4815,128315,221602,57.90 %
1373,Pakpattan-III,NA-166,Rana Ghazanfar Abbas,Independent,730,123530,4815,128315,221602,57.90 %
1374,Pakpattan-III,NA-166,Rana Zahid Hussain Khan,Pakistan Muslim League (N),66418,123530,4815,128315,221602,57.90 %
1375,Vehari-I,NA-167,Agha Khalid Mahmood Advoate,Independent,761,152880,1367,154247,363091,42.48 %
1376,Vehari-I,NA-167,Ch. Asghar Ali Jutt,Pakistan Peoples Party Parliamentarians,74308,152880,1367,154247,363091,42.48 %
1377,Vehari-I,NA-167,Ch. Ehsan Ullah Cheema,Independent,24,152880,1367,154247,363091,42.48 %
1378,Vehari-I,NA-167,Ch. Mukhtar Ahmed Jutt Advocate,Independent,1336,152880,1367,154247,363091,42.48 %
1379,Vehari-I,NA-167,Ch. Nazir Ahmed Arain,Independent,42606,152880,1367,154247,363091,42.48 %
1380,Vehari-I,NA-167,Ch. Tahir Naqash Jutt,Independent,260,152880,1367,154247,363091,42.48 %
1381,Vehari-I,NA-167,Haroon Mehmood Cheema,Independent,24,152880,1367,154247,363091,42.48 %
1382,Vehari-I,NA-167,Maqsood Ahmad Sajid,Independent,53,152880,1367,154247,363091,42.48 %
1383,Vehari-I,NA-167,Mian Aftab Hussain,Independent,49,152880,1367,154247,363091,42.48 %
1384,Vehari-I,NA-167,Muhammad Azam,Independent,96,152880,1367,154247,363091,42.48 %
1385,Vehari-I,NA-167,Muhammad Fayyaz Azeem,Independent,14,152880,1367,154247,363091,42.48 %
1386,Vehari-I,NA-167,Muhammad Qasim Iqbal,Independent,54,152880,1367,154247,363091,42.48 %
1387,Vehari-I,NA-167,Muhammad Sher Khan Khichi,Awami National Party,123,152880,1367,154247,363091,42.48 %
1388,Vehari-I,NA-167,Muhammad Younis,Independent,25,152880,1367,154247,363091,42.48 %
1389,Vehari-I,NA-167,Muhammad Younis Ellahi Tahoor,Independent,31,152880,1367,154247,363091,42.48 %
1390,Vehari-I,NA-167,Muhammad Yousaf,Independent,219,152880,1367,154247,363091,42.48 %
1391,Vehari-I,NA-167,Rao Muhammad Abid,Independent,180,152880,1367,154247,363091,42.48 %
1392,Vehari-I,NA-167,Shahzad Kareem,Independent,74,152880,1367,154247,363091,42.48 %
1393,Vehari-I,NA-167,Syed Muhammad Iqbal Shah,Independent,236,152880,1367,154247,363091,42.48 %
1394,Vehari-I,NA-167,Syed Sajid Mehdi Saleem,Independent,93,152880,1367,154247,363091,42.48 %
1395,Vehari-I,NA-167,Syed Shahid Mehdi Naseem Shah,Pakistan Muslim League (N),32314,152880,1367,154247,363091,42.48 %
1396,Vehari-II,NA-168,Bilal Akbar Bhatti,Pakistan Muslim League (N),46328,120626,1460,153840,313416,49.8 %
1397,Vehari-II,NA-168,Ch. Muhammad Yasir Gujjar,Independent,118,120626,1460,153840,313416,49.8 %
1398,Vehari-II,NA-168,Hafiz Muhammad Iqbal Kharal,Independent,2976,120626,1460,153840,313416,49.8 %
1399,Vehari-II,NA-168,Khan Moin Ahmed Khan Sahoka,Independent,83,120626,1460,153840,313416,49.8 %
1400,Vehari-II,NA-168,Natasha Doultana,Pakistan Peoples Party Parliamentarians,70146,120626,1460,153840,313416,49.8 %
1401,Vehari-II,NA-168,Shahid Qamar Ghani,Independent,233,120626,1460,153840,313416,49.8 %
1402,Vehari-II,NA-168,Shoukat Ali,Independent,679,120626,1460,153840,313416,49.8 %
1403,Vehari-II,NA-168,Tahir Naqash Jat,Independent,63,120626,1460,153840,313416,49.8 %
1404,Vehari-III,NA-169,Asif Saeed Manais,Independent,150,150635,4133,154632,320861,48.24 %
1405,Vehari-III,NA-169,Ghulam Sarwar Khan Khichi,Pakistan Peoples Party Parliamentarians,9094,150635,4133,154632,320861,48.24 %
1406,Vehari-III,NA-169,Khan Aftab Ahmad Khan Khichi,Pakistan Muslim League,45885,150635,4133,154632,320861,48.24 %
1407,Vehari-III,NA-169,Muhammad Sarwar Alvi,Muttahida Qaumi Movement Pakistan,293,150635,4133,154632,320861,48.24 %
1408,Vehari-III,NA-169,Muhammad Sarwar Choudhry,Independent,386,150635,4133,154632,320861,48.24 %
1409,Vehari-III,NA-169,Saeed Ahmad Khan Manais,Independent,45828,150635,4133,154632,320861,48.24 %
1410,Vehari-III,NA-169,Tehmina Daultana,Pakistan Muslim League (N),48999,150635,4133,154632,320861,48.24 %
1411,Vehari-IV,NA-170,Asif Saeed Manais,Independent,766,154733,4640,158850,328176,48.40 %
1412,Vehari-IV,NA-170,Aurangzaib Khan Khichi,Pakistan Muslim League,56816,154733,4640,158850,328176,48.40 %
1413,Vehari-IV,NA-170,Azhar Ahmad Khan Yousafzai,Independent,107,154733,4640,158850,328176,48.40 %
1414,Vehari-IV,NA-170,Hafiz Khubaib Ahmad Jamal,Independent,431,154733,4640,158850,328176,48.40 %
1415,Vehari-IV,NA-170,Mehmood Hayat Khan alias Tochi Khan,Pakistan Peoples Party Parliamentarians,87124,154733,4640,158850,328176,48.40 %
1416,Vehari-IV,NA-170,Nauman Gul Khan,Independent,34,154733,4640,158850,328176,48.40 %
1417,Vehari-IV,NA-170,Saeed Ahmad Khan Manais,Independent,5875,154733,4640,158850,328176,48.40 %
1418,Vehari-IV,NA-170,Sardar Noor Ahmed Khan Malaizai,Pakistan Muslim League (N),3580,154733,4640,158850,328176,48.40 %
1419,Dera Ghazi Khan-I,NA-171,Amjad Farooq Khan Khosa,Independent,36400,162634,7114,169748,381343,44.42 %
1420,Dera Ghazi Khan-I,NA-171,Dastgir Muhammad Hamauyun Advocate Khetran,Independent,102,162634,7114,169748,381343,44.42 %
1421,Dera Ghazi Khan-I,NA-171,Khawja Ghulam Nizam Ud Din,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,14914,162634,7114,169748,381343,44.42 %
1422,Dera Ghazi Khan-I,NA-171,Khawja Mudassir Mehmood,Pakistan Peoples Party Parliamentarians,19221,162634,7114,169748,381343,44.42 %
1423,Dera Ghazi Khan-I,NA-171,Khawja Muhammad Dawood Sulemani,Independent,16543,162634,7114,169748,381343,44.42 %
1424,Dera Ghazi Khan-I,NA-171,Khawja Sheeraz Mehmood,Pakistan Muslim League,39628,162634,7114,169748,381343,44.42 %
1425,Dera Ghazi Khan-I,NA-171,Muhammad Tahir Makhdoom,Jamiat Ulama-e-Islam (S),30,162634,7114,169748,381343,44.42 %
1426,Dera Ghazi Khan-I,NA-171,Sardar Meer Badshah Khan Qaisrani,Pakistan Muslim League (N),35124,162634,7114,169748,381343,44.42 %
1427,Dera Ghazi Khan-I,NA-171,Shamoona Umbreen Qaisrani,Independent,557,162634,7114,169748,381343,44.42 %
1428,Dera Ghazi Khan-I,NA-171,Sher Zaman Qaisrani,Independent,115,162634,7114,169748,381343,44.42 %
1429,Dera Ghazi Khan-II,NA-172,Allah Ditta Khan,Independent,48,120002,3212,123214,397159,31.02 %
1430,Dera Ghazi Khan-II,NA-172,Ashiq Hussain,Independent,73,120002,3212,123214,397159,31.02 %
1431,Dera Ghazi Khan-II,NA-172,Dr Hafiz Abdul Karim,Pakistan Muslim League (N),40460,120002,3212,123214,397159,31.02 %
1432,Dera Ghazi Khan-II,NA-172,Dr Saeed Barooz,Independent,23,120002,3212,123214,397159,31.02 %
1433,Dera Ghazi Khan-II,NA-172,Hafiz Ahmed Hassan Advocate,Independent,109,120002,3212,123214,397159,31.02 %
1434,Dera Ghazi Khan-II,NA-172,Hakeem Sheikh Moin-ud-Din Qureshi,Independent,86,120002,3212,123214,397159,31.02 %
1435,Dera Ghazi Khan-II,NA-172,Khalid Mehmood,Independent,424,120002,3212,123214,397159,31.02 %
1436,Dera Ghazi Khan-II,NA-172,Khalil Ahmed Khan Barmani Advocate,Independent,124,120002,3212,123214,397159,31.02 %
1437,Dera Ghazi Khan-II,NA-172,Manzoor Hussain,Independent,2,120002,3212,123214,397159,31.02 %
1438,Dera Ghazi Khan-II,NA-172,Muhammad Latif Ansar,Independent,14,120002,3212,123214,397159,31.02 %
1439,Dera Ghazi Khan-II,NA-172,Sajad Ahmed Khan,Independent,92,120002,3212,123214,397159,31.02 %
1440,Dera Ghazi Khan-II,NA-172,Sardar Awais Ahmed Khan Laghari,Pakistan Muslim League,61918,120002,3212,123214,397159,31.02 %
1441,Dera Ghazi Khan-II,NA-172,Sardar Muhammad Khan Leghari,Independent,219,120002,3212,123214,397159,31.02 %
1442,Dera Ghazi Khan-II,NA-172,Shabir Ahmed Khan Leghari,Pakistan Peoples Party Parliamentarians,16226,120002,3212,123214,397159,31.02 %
1443,Dera Ghazi Khan-II,NA-172,Shahid Hamid Khan Chandio,Independent,18,120002,3212,123214,397159,31.02 %
1444,Dera Ghazi Khan-II,NA-172,Sheikh Akhtar Ali,Independent,43,120002,3212,123214,397159,31.02 %
1445,Dera Ghazi Khan-II,NA-172,Syed Furrukh Waseem Bukhari,Independent,84,120002,3212,123214,397159,31.02 %
1446,Dera Ghazi Khan-II,NA-172,Zain Faiz,Independent,39,120002,3212,123214,397159,31.02 %
1447,Dera Ghazi Khan-III,NA-173,Malik Faiz Muhammad Adovocate,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,1559,134657,5384,140021,334228,41.89 %
1448,Dera Ghazi Khan-III,NA-173,Meena Ahsan Leghari,Independent,337,134657,5384,140021,334228,41.89 %
1449,Dera Ghazi Khan-III,NA-173,Muhammad Saif Ullah Khan Sadozai Advocate,Pakistan Peoples Party Parliamentarians,18326,134657,5384,140021,334228,41.89 %
1450,Dera Ghazi Khan-III,NA-173,Salauddin Khan Khosa,Independent,1561,134657,5384,140021,334228,41.89 %
1451,Dera Ghazi Khan-III,NA-173,Sardar Awais Ahmad Khan Leghari,Pakistan Muslim League,56074,134657,5384,140021,334228,41.89 %
1452,Dera Ghazi Khan-III,NA-173,Sardar Hussain Ahmad Khan Leghari (Retired),Independent,325,134657,5384,140021,334228,41.89 %
1453,Dera Ghazi Khan-III,NA-173,Sardar Muhammad Saif-ul-Din Khan Khosa,Pakistan Muslim League (N),56475,134657,5384,140021,334228,41.89 %
1454,Rajanpur-I,NA-174,Farooq Ahmad Khan Leghari (Retired),Independent,213,130455,5374,135621,292419,46.37 %
1455,Rajanpur-I,NA-174,Khawaja Kaleem-ud-Din Koreja.,Pakistan Peoples Party Parliamentarians,38484,130455,5374,135621,292419,46.37 %
1456,Rajanpur-I,NA-174,Meena Ihsan Leghari,Independent,55,130455,5374,135621,292419,46.37 %
1457,Rajanpur-I,NA-174,Sardar Muhammad Jafar Khan Leghari,Pakistan Muslim League,50440,130455,5374,135621,292419,46.37 %
1458,Rajanpur-I,NA-174,Sardar Nasrullh Khan Dreshak.,Independent,40049,130455,5374,135621,292419,46.37 %
1459,Rajanpur-I,NA-174,Sardar Zulfiqar Khan Dreshak,Independent,1214,130455,5374,135621,292419,46.37 %
1460,Rajanpur-II,NA-175,Meer Doost Muhammad Mazari,Pakistan Peoples Party Parliamentarians,78427,132214,5573,137472,285365,48.17 %
1461,Rajanpur-II,NA-175,Qadeer Shehbaz Mazari,Independent,1247,132214,5573,137472,285365,48.17 %
1462,Rajanpur-II,NA-175,Sardar Muhammad Awais Dreshak.,Independent,4802,132214,5573,137472,285365,48.17 %
1463,Rajanpur-II,NA-175,Sardar Nasrullh Khan Dreshak.,Pakistan Muslim League,46210,132214,5573,137472,285365,48.17 %
1464,Rajanpur-II,NA-175,Sardar Zulfiqar Khan Dreshak.,Independent,1528,132214,5573,137472,285365,48.17 %
1465,Muzaffargarh-I,NA-176,Malik Ghulam Qasim Hinjra,Pakistan Muslim League,46745,142246,4582,146584,275075,53.28 %
1466,Muzaffargarh-I,NA-176,Malik Muhammad Naeem Khar,Independent,416,142246,4582,146584,275075,53.28 %
1467,Muzaffargarh-I,NA-176,Mian Muhammad Arshad Abbas Qureshi,Pakistan Muslim League (N),42225,142246,4582,146584,275075,53.28 %
1468,Muzaffargarh-I,NA-176,Muhammad Arshad Sidique,Independent,826,142246,4582,146584,275075,53.28 %
1469,Muzaffargarh-I,NA-176,Muhammad Mohsin Ali Qureshi,Pakistan Peoples Party Parliamentarians,50826,142246,4582,146584,275075,53.28 %
1470,Muzaffargarh-I,NA-176,Sardar Ghulam Abbas Khan Lashari,Independent,115,142246,4582,146584,275075,53.28 %
1471,Muzaffargarh-I,NA-176,Syed Iqbal Hussain,Muttahida Qaumi Movement Pakistan,1093,142246,4582,146584,275075,53.28 %
1472,Muzaffargarh-II,NA-177,Hina Rabbani Khar,Pakistan Peoples Party Parliamentarians,84916,141471,5633,147102,257818,57.05 %
1473,Muzaffargarh-II,NA-177,Khalid Ahmad Gurmani,Pakistan Muslim League,50834,141471,5633,147102,257818,57.05 %
1474,Muzaffargarh-II,NA-177,Malik Muhammad Basit Khar,Pakistan Muslim League (N),5721,141471,5633,147102,257818,57.05 %
1475,Muzaffargarh-III,NA-178,Abdul Diyan Ansari,Independent,158,120939,1222,122161,283523,43.08 %
1476,Muzaffargarh-III,NA-178,Anwar-ul-Kareem Khan Barki,Independent,135,120939,1222,122161,283523,43.08 %
1477,Muzaffargarh-III,NA-178,Dr. Sohail Ahmed Gujjar,Independent,61,120939,1222,122161,283523,43.08 %
1478,Muzaffargarh-III,NA-178,Ghulam Ahmad Khan Sial,Independent,214,120939,1222,122161,283523,43.08 %
1479,Muzaffargarh-III,NA-178,Hakeem Sheikh Moeem-ud-Din Qureshi,Independent,116,120939,1222,122161,283523,43.08 %
1480,Muzaffargarh-III,NA-178,Jamshed Ahmed Dasti,Pakistan Peoples Party Parliamentarians,53817,120939,1222,122161,283523,43.08 %
1481,Muzaffargarh-III,NA-178,Khawaja Taj Rasool Shahjamali,Independent,5186,120939,1222,122161,283523,43.08 %
1482,Muzaffargarh-III,NA-178,Malik Ghulam Mustafa Khar,Independent,6162,120939,1222,122161,283523,43.08 %
1483,Muzaffargarh-III,NA-178,Malik Muhammad Sajid Thayium,Independent,45,120939,1222,122161,283523,43.08 %
1484,Muzaffargarh-III,NA-178,Mehr Muhammad Ijaz,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,129,120939,1222,122161,283523,43.08 %
1485,Muzaffargarh-III,NA-178,Mian Muhammad Hussain alias Muna Sheikh,Independent,51,120939,1222,122161,283523,43.08 %
1486,Muzaffargarh-III,NA-178,Muhammad Javaid Khan Dasti,Independent,39,120939,1222,122161,283523,43.08 %
1487,Muzaffargarh-III,NA-178,Nawabzada Iftikhar Ahmad Khan Babar,Pakistan Democratic Party,50102,120939,1222,122161,283523,43.08 %
1488,Muzaffargarh-III,NA-178,Qaiser Samra,Independent,140,120939,1222,122161,283523,43.08 %
1489,Muzaffargarh-III,NA-178,Rana Mushtaq Ahmad Khan,Independent,684,120939,1222,122161,283523,43.08 %
1490,Muzaffargarh-III,NA-178,Sajjad Hussain Qureshi,Independent,3612,120939,1222,122161,283523,43.08 %
1491,Muzaffargarh-III,NA-178,Sardar Manzoor Ahmed Khan Advocate,Independent,236,120939,1222,122161,283523,43.08 %
1492,Muzaffargarh-III,NA-178,Syed Mujahid Hussain Kazmi,Independent,52,120939,1222,122161,283523,43.08 %
1493,Muzaffargarh-IV,NA-179,Makhdom Zada Syed Basit Ahmad Sultan Bukhari,Pakistan Muslim League,60637,146490,2728,148411,264185,56 %
1494,Muzaffargarh-IV,NA-179,Makhdom Zada Syed Haroon Ahmad Sultan Bukhari,Independent,1427,146490,2728,148411,264185,56 %
1495,Muzaffargarh-IV,NA-179,Muhammad Moazam Ali Khan Jatoi,Pakistan Peoples Party Parliamentarians,79643,146490,2728,148411,264185,56 %
1496,Muzaffargarh-IV,NA-179,Muhammad Ziaullah Jatoi,Independent,272,146490,2728,148411,264185,56 %
1497,Muzaffargarh-IV,NA-179,Nawab Zada Mansoor Ahmad Khan,Pakistan Democratic Party,813,146490,2728,148411,264185,56 %
1498,Muzaffargarh-IV,NA-179,Rao Muhammad Mohsin Ali Khan,Pakistan Muslim League (N),3698,146490,2728,148411,264185,56 %
1499,Muzaffargarh-V,NA-180,Abdul Qayyum Khan Jatoi,Pakistan Peoples Party Parliamentarians,68270,135912,3931,139839,257481,54.31 %
1500,Muzaffargarh-V,NA-180,Ameer Ali Barq,Independent,42,135912,3931,139839,257481,54.31 %
1501,Muzaffargarh-V,NA-180,Makhadom Jamil Ahmed Hussain Bukhari,Pakistan Muslim League (N),3549,135912,3931,139839,257481,54.31 %
1502,Muzaffargarh-V,NA-180,Mian Fayyaz Mehmood,Independent,30,135912,3931,139839,257481,54.31 %
1503,Muzaffargarh-V,NA-180,Muhammad Shafi Khan,Independent,133,135912,3931,139839,257481,54.31 %
1504,Muzaffargarh-V,NA-180,Rana Zia Ahmed Farooqi Advocate,Jamiat Ulama-e-Islam (S),404,135912,3931,139839,257481,54.31 %
1505,Muzaffargarh-V,NA-180,Sardar Ashiq Hussain Gopan,Pakistan Muslim League,63144,135912,3931,139839,257481,54.31 %
1506,Muzaffargarh-V,NA-180,Yasir Arfat Khan,Independent,340,135912,3931,139839,257481,54.31 %
1507,Layyah-I,NA-181,Ahmad Nawaz Khan,Pasban,566,163166,4241,167325,263128,63.59 %
1508,Layyah-I,NA-181,Choudhary Altaf Hussain,Pakistan Peoples Party Parliamentarians,46149,163166,4241,167325,263128,63.59 %
1509,Layyah-I,NA-181,Malik Abdul Shakoor Siwag,Independent,307,163166,4241,167325,263128,63.59 %
1510,Layyah-I,NA-181,Muhammad Rab Nawaz,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,396,163166,4241,167325,263128,63.59 %
1511,Layyah-I,NA-181,Sahibzada-Faizul-Hassan,Pakistan Muslim League (N),56951,163166,4241,167325,263128,63.59 %
1512,Layyah-I,NA-181,Sardar Bahadar Ahmad Khan Seehar,Pakistan Muslim League,58797,163166,4241,167325,263128,63.59 %
1513,Layyah-II,NA-182,Malik Niaz Ahmad Jakhar,Pakistan Muslim League,52108,169346,5033,174192,295598,58.93 %
1514,Layyah-II,NA-182,Syed Faqeer Hussain Shah,Pakistan Peoples Party Parliamentarians,41328,169346,5033,174192,295598,58.93 %
1515,Layyah-II,NA-182,Syed Muhammad Saqlain Bukhari,Pakistan Muslim League (N),75910,169346,5033,174192,295598,58.93 %
1516,Bahawalpur-I,NA-183,Aarif Aziz Sheikh,Pakistan Peoples Party Parliamentarians,71394,114145,2800,116940,314932,37.13 %
1517,Bahawalpur-I,NA-183,Iftikhar Ahmed Haqani,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,459,114145,2800,116940,314932,37.13 %
1518,Bahawalpur-I,NA-183,Lt. Col. (R) Syed Karim Haider Bukhari,Independent,1723,114145,2800,116940,314932,37.13 %
1519,Bahawalpur-I,NA-183,Mukhdoom Sohail Hassan Gilani,Independent,925,114145,2800,116940,314932,37.13 %
1520,Bahawalpur-I,NA-183,Mukhdoom Syed Sami-ul-Hassan Gilani,Pakistan Muslim League,39644,114145,2800,116940,314932,37.13 %
1521,Bahawalpur-II,NA-184,Dr. Muhammad Niaz Malik,Independent,1263,134088,1736,135823,321784,42.20 %
1522,Bahawalpur-II,NA-184,Hafiz Munir Ahmed Advocate,Independent,1043,134088,1736,135823,321784,42.20 %
1523,Bahawalpur-II,NA-184,Khadija Aamir Yar Malik,Pakistan Peoples Party Parliamentarians,74287,134088,1736,135823,321784,42.20 %
1524,Bahawalpur-II,NA-184,Malik Ejaz Ahmed Chanter,Independent,270,134088,1736,135823,321784,42.20 %
1525,Bahawalpur-II,NA-184,Malik Khalid Mehmood Babar Warn,Pakistan Muslim League,174,134088,1736,135823,321784,42.20 %
1526,Bahawalpur-II,NA-184,Malik Tahir Mehmood,Independent,91,134088,1736,135823,321784,42.20 %
1527,Bahawalpur-II,NA-184,Mian Najeeb-ud-Din Owaisi,Pakistan Muslim League (N),48776,134088,1736,135823,321784,42.20 %
1528,Bahawalpur-II,NA-184,Muhammad Jamil Baig,Independent,204,134088,1736,135823,321784,42.20 %
1529,Bahawalpur-II,NA-184,Muhammad Kashif,Independent,257,134088,1736,135823,321784,42.20 %
1530,Bahawalpur-II,NA-184,Muhammad Safdar Mohal,Independent,890,134088,1736,135823,321784,42.20 %
1531,Bahawalpur-II,NA-184,Rao Muhammad Javed Iqbal,Independent,6734,134088,1736,135823,321784,42.20 %
1532,Bahawalpur-II,NA-184,Shahid Abbas,Independent,99,134088,1736,135823,321784,42.20 %
1533,Bahawalpur-III,NA-185,Muhammad Afrooq Anwar Abbasi,Pakistan Muslim League,18822,121413,2411,123818,364465,33.97 %
1534,Bahawalpur-III,NA-185,Muhammad Baleegh-ur-Rehman,Pakistan Muslim League (N),54334,121413,2411,123818,364465,33.97 %
1535,Bahawalpur-III,NA-185,Muhammad Farooq Azam Malik,Pakistan Peoples Party Parliamentarians,47337,121413,2411,123818,364465,33.97 %
